name,url,location,description
Grand Lyon Data,https://data.grandlyon.com,France,
Paris Data,https://opendata.paris.fr,France,
Open Data Toulouse Métropole,https://data.toulouse-metropole.fr,France,
Bordeaux Métropole Data,https://opendata.bordeaux-metropole.fr/pages/accueil,France,
Open Data Rennes Métropole,https://data.rennesmetropole.fr,France,
Nantes Open Data,https://data.nantesmetropole.fr,France,
Montpellier Territoire Numérique Open Data,https://data.montpellier3m.fr,France,
Open Data Strasbourg,https://data.strasbourg.eu,France,
Open Data Marseille,https://opendata.marseille.fr,France,
Lille Métropole Data,https://data.lillemetropole.fr,France,
Humanitarian Data Exchange (HDX),https://data.humdata.org,,
World Resources Institute (WRI) Open Data Portal,https://wri.org/data,
Koordinates,https://koordinates.com,,
OpenStreetMap (OSM),https://planet.openstreetmap.org,Global,
HYDROSHEDS,https://hydrosheds.org/products,,
Natural Earth,https://naturalearthdata.com,,
FAO GeoNetwork,https://fao.org/geonetwork,,
European Environment Agency (EEA),https://www.europa.eu,Europe,
Global Forest Watch,https://globalforestwatch.org,Global,
DIVA-GIS,https://diva-gis.org,,
GADM (Global Administrative Areas),https://gadm.org,,
USGS Earth Explorer,https://earthexplorer.usgs.gov,,
NASA Socioeconomic Data and Applications Center (SEDAC),https://www.earthdata.nasa.gov/centers/sedac-daac,,
Africa GeoPortal,https://africageoportal.com,,
Geofabrik,https://download.geofabrik.de,,
UNEP Environmental Data Explorer,https://uneplive.unep.org,,
OpenTopography,https://opentopography.org,,
MarineRegions,https://marineregions.org,,
Socioeconomic Data Hub (GeoNode),https://geonode.org,,
Data Basin,https://databasin.org,,
USGS EarthExplorer,https://earthexplorer.usgs.gov,
Natural Earth,https://naturalearthdata.com,,
Copernicus Data Space Ecosystem,https://dataspace.copernicus.eu,,
NASA Earthdata,https://www.earthdata.nasa.gov,
LandsatLook,https://landsatlook.usgs.gov,,
GeoNames,https://geonames.org,,
FAO GeoNetwork,http://geonetwork.fao.org/geonetwork/srv/en/main.home,,
Google Earth Engine,https://earthengine.google.com,,
OpenStreetMap Sénégal,https://download.geofabrik.de/africa/senegal.html,Senegal,
Global Administrative Areas (GADM),https://gadm.org,,
DIVA-GIS Sénégal,https://www.diva-gis.org/gdata,Senegal,
GeoSénégal,http://www.geosenegal.gouv.sn,Senegal,
M DATA,https://data.ampmetropole.fr/pages/accueil,,
Opendatasoft,https://public.opendatasoft.com,,
DataHub,https://data.opendatasoft.com,,
Data Corsica,https://www.data.corsica/pages/portail,,
Opendata Corse EDF,https://opendata-corse.edf.fr,,
GEOPAL pour les Pays de la Loire,https://GEOPAL.org/accueil,,
Base de Données Nationale IMOPE,https://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-imope-inventaire-multi-objets-des-batiments,,
Géoclip Observatoire des territoires,https://www.geoclip.fr/portfolio-item/observatoire-des-territoires-agence-nationale-de-la-cohesion-des-territoires-anct,,
Géoportail,https://www.geoportail.gouv.fr,,
Data.gouv.fr,https://www.data.gouv.fr/fr,,
INSEE,https://www.insee.fr,,
BD Topo® de l'IGN,https://www.ign.fr,France,
Données IGN dispo gratuitement,https://geoservices.ign.fr,France,
Viageo,https://viageo.ch,,
Opendata Suisse,https://opendata.swiss/fr,,
Geocat Suisse,https://www.geocat.ch,,
GéoBretagne,https://geobretagne.fr/datahub/news,,
GéoNormandie,http://www.geonormandie.fr,,
PIGMA (Nouvelle-Aquitaine),https://www.pigma.org,,
Open Data Hauts-de-France,https://opendata.hautsdefrance.fr,France,
Data Pays de la Loire,https://data.paysdelaloire.fr/pages/home,,
Open Data Sud de France (Occitanie),https://data.laregion.fr,France,
Centre-Val de Loire,https://data.centrevaldeloire.fr/pages/accueil,,
Centre Régional Auvergne - Rhône - Alpes de l'Information Géographique (CRAIG),https://www.observatoire-des-territoires.gouv.fr/partenaires/craig-auvergne-rhone-alpes,,
Pour les Hauts-de-France,https://www.geo2france.fr/portail,France,
DataGrandEst,https://www.datagrandest.fr/portail/fr,,
Esri Open Data Hub,https://hub.arcgis.com/,,
NASA Earth Observations (NEO),https://neo.gsfc.nasa.gov/,,
Terra Populus,https://terra.ipums.org/,,Integrated population and environmental data
ISCGM Global Map,https://globalmaps.github.io/,,
